"subj","condition","countFix_aoi","N","n_target","n_distractor","n_dud","p_target","p_distractor","p_dud","dur_target","dur_distractor","dur_dud"
"sub04",0.95,1,285,100,91,94,0.350877192982456,0.319298245614035,0.329824561403509,0.241081102967291,0.220420461510702,0.22730384892589
"sub04",0.95,2,272,117,93,62,0.430147058823529,0.341911764705882,0.227941176470588,0.280982426506876,0.255907216130146,0.239785819297287
"sub04",0.95,3,250,87,90,73,0.348,0.36,0.292,0.272505958585153,0.249623384469629,0.231498876696792
"sub04",0.95,4,186,58,60,68,0.311827956989247,0.32258064516129,0.365591397849462,0.251431270658063,0.223610354944443,0.224755042693954
"sub04",0.95,5,105,36,32,37,0.342857142857143,0.304761904761905,0.352380952380952,0.209717502798917,0.215887212499183,0.2222958026199
"sub04",0.95,6,35,13,10,12,0.371428571428571,0.285714285714286,0.342857142857143,0.243581753857702,0.141661660093814,0.207639816539692
"sub04",0.95,7,6,2,3,1,0.333333333333333,0.5,0.166666666666667,0.162488350179046,0.225002966665973,0.0833469005301595
"sub04",0.95,8,2,1,1,0,0.5,0.5,0,0.174997400026768,0.341637199744582,0
"sub04",0.95,9,1,0,0,1,0,0,1,0,0,0.0916619999334216
"sub05",0,1,284,144,140,0,0.507042253521127,0.492957746478873,0,0.200290301391265,0.187557348569567,0
"sub05",0,2,229,116,113,0,0.506550218340611,0.493449781659389,0,0.219606006883354,0.182298052194002,0
"sub05",0,3,69,34,35,0,0.492753623188406,0.507246376811594,0,0.198040435300397,0.209998122839914,0
"sub05",0,4,6,3,3,0,0.5,0.5,0,0.225005833160442,0.21666883338465,0
"sub05",0,5,2,2,0,0,1,0,0,0.295820550294593,0,0
"sub05",0.3,1,287,104,99,84,0.362369337979094,0.344947735191638,0.292682926829268,0.178204160529698,0.185436086853704,0.144942369038792
"sub05",0.3,2,253,148,95,10,0.58498023715415,0.375494071146245,0.0395256916996047,0.177757202677552,0.173944441072435,0.125004480047028
"sub05",0.3,3,99,34,62,3,0.343434343434343,0.626262626262626,0.0303030303030303,0.181126750055361,0.179835474232417,0.147216066551816
"sub05",0.3,4,23,9,13,1,0.391304347826087,0.565217391304348,0.0434782608695652,0.148146244530595,0.177564215390021,0.116653000470251
"sub05",0.3,5,4,3,0,1,0.75,0,0.25,0.269437933185448,0,0.125020599458367
"sub05",0.3,6,1,1,0,0,1,0,0,0.158290999941528,0,0
"sub05",0.3,7,1,0,1,0,0,1,0,0,0.21669409936294,0
"sub05",0.5,1,286,109,93,84,0.381118881118881,0.325174825174825,0.293706293706294,0.198928552288474,0.193276839786369,0.158436859493368
"sub05",0.5,2,245,138,91,16,0.563265306122449,0.371428571428571,0.0653061224489796,0.176382429002108,0.180401327452371,0.12343774372286
"sub05",0.5,3,103,34,61,8,0.330097087378641,0.592233009708738,0.0776699029126214,0.18333363528504,0.182508090180872,0.133340962480801
"sub05",0.5,4,25,12,10,3,0.48,0.4,0.12,0.13471879997553,0.129995610073206,0.141674666820715
"sub05",0.5,5,2,0,2,0,0,1,0,0,0.0833282999228687,0
"sub05",0.7,1,284,98,98,88,0.345070422535211,0.345070422535211,0.309859154929577,0.198551492833886,0.192345913244783,0.169416618171008
"sub05",0.7,2,249,129,92,28,0.518072289156627,0.369477911646586,0.112449799196787,0.158522878296397,0.167841447818141,0.130652496370979
"sub05",0.7,3,106,36,46,24,0.339622641509434,0.433962264150943,0.226415094339623,0.18217815834327,0.131339150035748,0.110764808316153
"sub05",0.7,4,25,5,11,9,0.2,0.44,0.36,0.173346959999162,0.182576318186059,0.127770122276464
"sub05",0.7,5,3,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.116663800086826,0.249993700068444,0.16666779993102
"sub05",0.7,6,1,1,0,0,1,0,0,0.3582563996315,0,0
"sub05",0.7,7,1,1,0,0,1,0,0,0.141666800249368,0,0
"sub05",0.7,8,1,0,1,0,0,1,0,0,0.283335100393742,0
"sub05",0.85,1,287,94,97,96,0.327526132404181,0.337979094076655,0.334494773519164,0.205048754226444,0.187455087632326,0.189148237529379
"sub05",0.85,2,248,117,95,36,0.471774193548387,0.383064516129032,0.145161290322581,0.15469884357484,0.150521241021537,0.139585361070942
"sub05",0.85,3,139,48,54,37,0.345323741007194,0.388489208633094,0.266187050359712,0.167357041711557,0.162652240699624,0.137388005401181
"sub05",0.85,4,32,10,5,17,0.3125,0.15625,0.53125,0.122504039893079,0.150002100132406,0.118130976414317
"sub05",0.85,5,4,4,0,0,1,0,0,0.168763274792582,0,0
"sub05",0.95,1,285,88,100,97,0.308771929824561,0.350877192982456,0.340350877192982,0.202931877284233,0.191499988003569,0.179894114423577
"sub05",0.95,2,255,122,73,60,0.47843137254902,0.286274509803922,0.235294117647059,0.155872900801857,0.152965378106596,0.152777633338216
"sub05",0.95,3,147,52,40,55,0.353741496598639,0.272108843537415,0.374149659863946,0.168588626971401,0.162703112386879,0.15408090366515
"sub05",0.95,4,34,10,13,11,0.294117647058824,0.382352941176471,0.323529411764706,0.164997680060992,0.13974452307052,0.206064500162029
"sub05",0.95,5,5,2,3,0,0.4,0.6,0,0.241674600256374,0.199995800076673,0
"sub05",0.95,6,2,2,0,0,1,0,0,0.287493200041354,0,0
"sub06",0,1,268,132,136,0,0.492537313432836,0.507462686567164,0,0.194570833351022,0.191053306630826,0
"sub06",0,2,207,100,107,0,0.483091787439614,0.516908212560386,0,0.258913500010967,0.214876757001735,0
"sub06",0,3,102,51,51,0,0.5,0.5,0,0.216339984276976,0.213234339216975,0
"sub06",0,4,47,26,21,0,0.553191489361702,0.446808510638298,0,0.22115787308296,0.239285814291742,0
"sub06",0,5,23,13,10,0,0.565217391304348,0.434782608695652,0,0.187192899772736,0.281662929907907,0
"sub06",0,6,8,4,4,0,0.5,0.5,0,0.249997850209184,0.166668174919323,0
"sub06",0,7,3,0,3,0,0,1,0,0,0.138892399971762,0
"sub06",0,8,1,0,1,0,0,1,0,0,0.108354400377721,0
"sub06",0.3,1,265,122,104,39,0.460377358490566,0.392452830188679,0.147169811320755,0.190845213929949,0.185497139419357,0.114097607701133
"sub06",0.3,2,221,100,119,2,0.452488687782805,0.538461538461538,0.00904977375565611,0.22574429099157,0.195304790744803,0.054178949969355
